Omega_Lambda,label,s0_median,s0_16,s0_84,s0_95UL,best_fit_s0,best_fit_H0rd,best_fit_MB,chi2_min,chi2_SN,chi2_BAO,Delta_chi2_vs_LCDM,tau_max,acceptance
0.68,0.68,0.06282830278755192,0.019940411348862194,0.12445282870670869,0.16477478133351894,0.001000000022828971,9989.749476386907,-19.35242823773103,1773.2832239253412,1757.6624796660906,15.620744259250598,0.8273634205033886,43.47317904625815,0.61470625
0.685,0.685 (canonical),0.07558022063094064,0.023317371926471042,0.14329182568234702,0.1848500477264846,0.0010000000512800863,10025.427087640928,-19.35404433996474,1772.5653180763418,1759.0322008887847,13.53311718755718,0.10945757150398094,46.85324199576435,0.6131
0.69,0.69,0.0879458522499754,0.0277908741180063,0.16259987030032694,0.20497571413265497,0.0010000000496473978,10061.643938067271,-19.355668263912303,1772.5218936602655,1760.5745981281004,11.947295532165114,0.0660331554277036,53.13635371011894,0.6134375
0.7,0.7,0.14651553696705727,0.05579683785090193,0.22195319678115466,0.25980273521785546,0.17667694233876438,10075.620220303108,-19.356605116804307,1773.4137228092627,1761.5041818967181,11.90954091254455,0.957862304424907,48.77589707234039,0.61591875
0.715,0.715,0.2775113293593687,0.2202091370661857,0.32327105445526993,0.3493397170540093,0.288021106856859,10086.731150161912,-19.357624391387187,1774.8364971261676,1762.539643430308,12.296853695859692,2.3806366213298134,40.05793276438097,0.6377062499999999
