parameterization,w0,w1_or_wa,w2,chi2,crosses_w=-1
CPL,-1.0445517034096665,0.9249762148256195,,1.3051600729513495,Yes
BA,-1.1995629818437634,2.6539577872554068,,11.481026667246534,Yes
JBP,-1.1670173631353555,2.1971993639208645,,7.207166311761345,Yes
Polynomial,-0.9183200395481563,-0.21312755934125077,1.7385665586422638,0.004000381697698599,No
