model,n,best_s0,best_H0rd,chi2_SN,chi2_BAO,chi2_total,delta_chi2,acceptance_fraction,tau_max
ΛCDM baseline,,,,,,1772.456,0.0,,
A,0.0,0.8227644518380587,9279.251709101,1814.7443995962565,176.40268860969863,1991.147088205955,218.6910882059551,0.64736875,39.13227607892527
B,-1.0,0.0011373721015847,8554.927998160183,1834.4749841200592,1759.9094543759504,3594.38443849601,1821.92843849601,0.61828125,45.3397303041314
C,1.0,0.962272376364436,9219.67831894149,2737.091039485719,6311.995468984749,9049.086508470467,7276.630508470467,0.6461375,40.024055384877464
D,-0.5,0.0077390832445218,10024.909757948844,1759.026859095046,13.54017866740354,1772.5670377624494,0.11103776244954133,0.61500625,46.98212220860001
